Entry	Entry name	Status	Protein names	Gene names	Organism	Gene ontology (biological process)	Gene ontology (GO)	Gene ontology IDs
Q9C0D9	EPT1_HUMAN	reviewed	Ethanolaminephosphotransferase 1 (hEPT1) (EC 2.7.8.1) (Selenoprotein I) (SelI)	SELENOI EPT1 KIAA1724 SELI	Homo sapiens (Human)	phosphatidylethanolamine biosynthetic process [GO:0006646]	endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; ethanolaminephosphotransferase activity [GO:0004307]; metal ion binding [GO:0046872]; phosphatidylethanolamine biosynthetic process [GO:0006646]	GO:0004307; GO:0005789; GO:0005794; GO:0006646; GO:0016021; GO:0046872
P48608	DIA_DROME	reviewed	Protein diaphanous	dia CG1768	Drosophila melanogaster (Fruit fly)	actin cytoskeleton reorganization [GO:0031532]; actin filament organization [GO:0007015]; actin nucleation [GO:0045010]; actomyosin contractile ring assembly [GO:0000915]; apical constriction [GO:0003383]; assembly of apicomedial cortex actomyosin [GO:0106036]; cellularization [GO:0007349]; maintenance of protein location in cell [GO:0032507]; meiosis I cytokinesis [GO:0007110]; meiosis II cytokinesis [GO:0007111]; melanotic encapsulation of foreign target [GO:0035011]; mitotic cell cycle, embryonic [GO:0045448]; mitotic cytokinesis [GO:0000281]; open tracheal system development [GO:0007424]; plasma membrane tubulation [GO:0097320]; pole cell formation [GO:0007279]; positive regulation of actin filament polymerization [GO:0030838]; positive regulation of wound healing [GO:0090303]; protein localization [GO:0008104]; protein secretion [GO:0009306]; pseudocleavage involved in syncytial blastoderm formation [GO:0030589]; regulation of actomyosin structure organization [GO:0110020]; regulation of embryonic cell shape [GO:0016476]; regulation of filopodium assembly [GO:0051489]; salivary gland morphogenesis [GO:0007435]; sensory perception of sound [GO:0007605]; spindle assembly [GO:0051225]	apical part of cell [GO:0045177]; cell cortex [GO:0005938]; cleavage furrow [GO:0032154]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; protein-containing complex [GO:0032991]; vesicle membrane [GO:0012506]; actin binding [GO:0003779]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; small GTPase binding [GO:0031267]; actin cytoskeleton reorganization [GO:0031532]; actin filament organization [GO:0007015]; actin nucleation [GO:0045010]; actomyosin contractile ring assembly [GO:0000915]; apical constriction [GO:0003383]; assembly of apicomedial cortex actomyosin [GO:0106036]; cellularization [GO:0007349]; maintenance of protein location in cell [GO:0032507]; meiosis I cytokinesis [GO:0007110]; meiosis II cytokinesis [GO:0007111]; melanotic encapsulation of foreign target [GO:0035011]; mitotic cell cycle, embryonic [GO:0045448]; mitotic cytokinesis [GO:0000281]; open tracheal system development [GO:0007424]; plasma membrane tubulation [GO:0097320]; pole cell formation [GO:0007279]; positive regulation of actin filament polymerization [GO:0030838]; positive regulation of wound healing [GO:0090303]; protein localization [GO:0008104]; protein secretion [GO:0009306]; pseudocleavage involved in syncytial blastoderm formation [GO:0030589]; regulation of actomyosin structure organization [GO:0110020]; regulation of embryonic cell shape [GO:0016476]; regulation of filopodium assembly [GO:0051489]; salivary gland morphogenesis [GO:0007435]; sensory perception of sound [GO:0007605]; spindle assembly [GO:0051225]	GO:0000281; GO:0000915; GO:0003383; GO:0003779; GO:0005546; GO:0005737; GO:0005856; GO:0005938; GO:0007015; GO:0007110; GO:0007111; GO:0007279; GO:0007349; GO:0007424; GO:0007435; GO:0007605; GO:0008104; GO:0009306; GO:0012506; GO:0016476; GO:0030589; GO:0030838; GO:0031267; GO:0031532; GO:0032154; GO:0032507; GO:0032991; GO:0035011; GO:0045010; GO:0045177; GO:0045448; GO:0051225; GO:0051489; GO:0090303; GO:0097320; GO:0106036; GO:0110020
Q8K0C9	GMDS_MOUSE	reviewed	GDP-mannose 4,6 dehydratase (EC 4.2.1.47) (GDP-D-mannose dehydratase) (GMD)	Gmds	Mus musculus (Mouse)	'de novo' GDP-L-fucose biosynthetic process [GO:0042351]; GDP-mannose metabolic process [GO:0019673]; Notch signaling pathway [GO:0007219]	cytoplasm [GO:0005737]; GDP-mannose 4,6-dehydratase activity [GO:0008446]; identical protein binding [GO:0042802]; NADP+ binding [GO:0070401]; 'de novo' GDP-L-fucose biosynthetic process [GO:0042351]; GDP-mannose metabolic process [GO:0019673]; Notch signaling pathway [GO:0007219]	GO:0005737; GO:0007219; GO:0008446; GO:0019673; GO:0042351; GO:0042802; GO:0070401
P22129	RB11B_DIPOM	reviewed	Ras-related protein Rab-11B (ORA3)		Diplobatis ommata (Ocellated electric ray) (Discopyge ommata)	cellular response to acidic pH [GO:0071468]; constitutive secretory pathway [GO:0045054]; endocytic recycling [GO:0032456]; insulin secretion involved in cellular response to glucose stimulus [GO:0035773]; melanosome transport [GO:0032402]; receptor recycling [GO:0001881]; regulated exocytosis [GO:0045055]; regulation of anion transport [GO:0044070]; regulation of endocytic recycling [GO:2001135]; regulation of protein localization to cell surface [GO:2000008]; transferrin transport [GO:0033572]	phagocytic vesicle [GO:0045335]; phagocytic vesicle membrane [GO:0030670]; recycling endosome membrane [GO:0055038]; synaptic vesicle [GO:0008021]; synaptic vesicle membrane [GO:0030672]; GDP binding [GO:0019003]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; cellular response to acidic pH [GO:0071468]; constitutive secretory pathway [GO:0045054]; endocytic recycling [GO:0032456]; insulin secretion involved in cellular response to glucose stimulus [GO:0035773]; melanosome transport [GO:0032402]; receptor recycling [GO:0001881]; regulated exocytosis [GO:0045055]; regulation of anion transport [GO:0044070]; regulation of endocytic recycling [GO:2001135]; regulation of protein localization to cell surface [GO:2000008]; transferrin transport [GO:0033572]	GO:0001881; GO:0003924; GO:0005525; GO:0008021; GO:0019003; GO:0030670; GO:0030672; GO:0032402; GO:0032456; GO:0033572; GO:0035773; GO:0044070; GO:0045054; GO:0045055; GO:0045335; GO:0055038; GO:0071468; GO:2000008; GO:2001135
Q6AYB5	SRP54_RAT	reviewed	Signal recognition particle 54 kDa protein (SRP54) (EC 3.6.5.-)	Srp54	Rattus norvegicus (Rat)	exocrine pancreas development [GO:0031017]; granulocyte differentiation [GO:0030851]; neutrophil chemotaxis [GO:0030593]; protein targeting to ER [GO:0045047]; SRP-dependent cotranslational protein targeting to membrane, translocation [GO:0006616]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; signal recognition particle, endoplasmic reticulum targeting [GO:0005786]; 7S RNA binding [GO:0008312]; endoplasmic reticulum signal peptide binding [GO:0030942]; GDP binding [GO:0019003]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; ribonucleoprotein complex binding [GO:0043021]; exocrine pancreas development [GO:0031017]; granulocyte differentiation [GO:0030851]; neutrophil chemotaxis [GO:0030593]; protein targeting to ER [GO:0045047]; SRP-dependent cotranslational protein targeting to membrane, translocation [GO:0006616]	GO:0003924; GO:0005525; GO:0005634; GO:0005737; GO:0005783; GO:0005786; GO:0005829; GO:0006616; GO:0008312; GO:0016607; GO:0019003; GO:0030593; GO:0030851; GO:0030942; GO:0031017; GO:0043021; GO:0045047
Q6H236	PEG3_BOVIN	reviewed	Paternally-expressed gene 3 protein	PEG3	Bos taurus (Bovine)	apoptotic process [GO:0006915]; regulation of transcription by RNA polymerase II [GO:0006357]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; apoptotic process [GO:0006915]; regulation of transcription by RNA polymerase II [GO:0006357]	GO:0000978; GO:0000981; GO:0005634; GO:0005737; GO:0006357; GO:0006915; GO:0046872
Q9V3P0	PRDX1_DROME	reviewed	Peroxiredoxin 1 (EC 1.11.1.24) (Cytosolic thioredoxin peroxidase) (DPx-4783) (DmTPx-1) (Thioredoxin peroxidase) (Thioredoxin-dependent peroxiredoxin 1)	Jafrac1 TPX-1 CG1633	Drosophila melanogaster (Fruit fly)	cell adhesion [GO:0007155]; cell redox homeostasis [GO:0045454]; determination of adult lifespan [GO:0008340]; germ cell development [GO:0007281]; germ cell migration [GO:0008354]; hydrogen peroxide catabolic process [GO:0042744]; leukocyte activation [GO:0045321]; removal of superoxide radicals [GO:0019430]; response to oxidative stress [GO:0006979]; response to starvation [GO:0042594]	cytosol [GO:0005829]; thioredoxin peroxidase activity [GO:0008379]; cell adhesion [GO:0007155]; cell redox homeostasis [GO:0045454]; determination of adult lifespan [GO:0008340]; germ cell development [GO:0007281]; germ cell migration [GO:0008354]; hydrogen peroxide catabolic process [GO:0042744]; leukocyte activation [GO:0045321]; removal of superoxide radicals [GO:0019430]; response to oxidative stress [GO:0006979]; response to starvation [GO:0042594]	GO:0005829; GO:0006979; GO:0007155; GO:0007281; GO:0008340; GO:0008354; GO:0008379; GO:0019430; GO:0042594; GO:0042744; GO:0045321; GO:0045454
Q6P963	GLO2_DANRE	reviewed	Hydroxyacylglutathione hydrolase, mitochondrial (EC 3.1.2.6) (Glyoxalase II) (Glx II)	hagh zgc:73161	Danio rerio (Zebrafish) (Brachydanio rerio)	methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione [GO:0019243]	mitochondrial matrix [GO:0005759]; hydroxyacylglutathione hydrolase activity [GO:0004416]; metal ion binding [GO:0046872]; methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione [GO:0019243]	GO:0004416; GO:0005759; GO:0019243; GO:0046872
Q02280	KCNAE_DROME	reviewed	Potassium voltage-gated channel protein eag (Ether-a-go-go protein)	eag CG10952	Drosophila melanogaster (Fruit fly)	behavioral response to ether [GO:0048150]; courtship behavior [GO:0007619]; learning [GO:0007612]; learning or memory [GO:0007611]; perineurial glial growth [GO:0042066]; positive regulation of voltage-gated potassium channel activity [GO:1903818]; potassium ion transmembrane transport [GO:0071805]; potassium ion transport [GO:0006813]; regulation of heart contraction [GO:0008016]; regulation of membrane potential [GO:0042391]; sensory perception of smell [GO:0007608]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; voltage-gated potassium channel complex [GO:0008076]; transmembrane transporter binding [GO:0044325]; voltage-gated cation channel activity [GO:0022843]; voltage-gated potassium channel activity [GO:0005249]; behavioral response to ether [GO:0048150]; courtship behavior [GO:0007619]; learning [GO:0007612]; learning or memory [GO:0007611]; perineurial glial growth [GO:0042066]; positive regulation of voltage-gated potassium channel activity [GO:1903818]; potassium ion transmembrane transport [GO:0071805]; potassium ion transport [GO:0006813]; regulation of heart contraction [GO:0008016]; regulation of membrane potential [GO:0042391]; sensory perception of smell [GO:0007608]	GO:0005249; GO:0005886; GO:0005887; GO:0006813; GO:0007608; GO:0007611; GO:0007612; GO:0007619; GO:0008016; GO:0008076; GO:0022843; GO:0042066; GO:0042391; GO:0044325; GO:0048150; GO:0071805; GO:1903818
Q9W0T5	PYX_DROME	reviewed	Transient receptor potential channel pyrexia	pyx CG17142	Drosophila melanogaster (Fruit fly)	calcium ion transport [GO:0006816]; cation transport [GO:0006812]; negative gravitaxis [GO:0048060]; potassium ion transport [GO:0006813]; response to heat [GO:0009408]	cation channel complex [GO:0034703]; integral component of membrane [GO:0016021]; calcium channel activity [GO:0005262]; cation channel activity [GO:0005261]; calcium ion transport [GO:0006816]; cation transport [GO:0006812]; negative gravitaxis [GO:0048060]; potassium ion transport [GO:0006813]; response to heat [GO:0009408]	GO:0005261; GO:0005262; GO:0006812; GO:0006813; GO:0006816; GO:0009408; GO:0016021; GO:0034703; GO:0048060
D3YVF0	AKAP5_MOUSE	reviewed	A-kinase anchor protein 5 (AKAP-5) (A-kinase anchor protein 150 kDa) (AKAP 150) (P150) (cAMP-dependent protein kinase regulatory subunit II high affinity-binding protein)	Akap5 Akap150	Mus musculus (Mouse)	adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway [GO:0007193]; amylase secretion [GO:0036394]; cellular protein complex disassembly [GO:0043624]; clustering of voltage-gated calcium channels [GO:0070073]; clustering of voltage-gated potassium channels [GO:0045163]; negative regulation of adenylate cyclase activity [GO:0007194]; negative regulation of ion transport [GO:0043271]; negative regulation of potassium ion transport [GO:0043267]; positive regulation of adenylate cyclase activity [GO:0045762]; positive regulation of calcineurin-NFAT signaling cascade [GO:0070886]; positive regulation of calcium ion transport into cytosol [GO:0010524]; positive regulation of dendrite morphogenesis [GO:0050775]; positive regulation of endosome to plasma membrane protein transport [GO:1905751]; positive regulation of long-term synaptic potentiation [GO:1900273]; positive regulation of protein import into nucleus [GO:0042307]; positive regulation of protein localization to plasma membrane [GO:1903078]; positive regulation of protein phosphorylation [GO:0001934]; receptor clustering [GO:0043113]; regulation of postsynaptic neurotransmitter receptor internalization [GO:0099149]; regulation of protein kinase A signaling [GO:0010738]	asymmetric synapse [GO:0032279]; basolateral plasma membrane [GO:0016323]; cytoplasm [GO:0005737]; cytoplasmic side of plasma membrane [GO:0009898]; cytoskeleton [GO:0005856]; dendrite [GO:0030425]; dendrite membrane [GO:0032590]; dendritic shaft [GO:0043198]; dendritic spine [GO:0043197]; dendritic spine membrane [GO:0032591]; excitatory synapse [GO:0060076]; filopodium membrane [GO:0031527]; glutamatergic synapse [GO:0098978]; membrane raft [GO:0045121]; neuronal cell body [GO:0043025]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; postsynaptic density, intracellular component [GO:0099092]; postsynaptic recycling endosome [GO:0098837]; protein-containing complex [GO:0032991]; actin binding [GO:0003779]; adenylate cyclase binding [GO:0008179]; beta-2 adrenergic receptor binding [GO:0031698]; cadherin binding [GO:0045296]; calmodulin binding [GO:0005516]; G protein-coupled receptor binding [GO:0001664]; GABA receptor binding [GO:0050811]; glutamate receptor binding [GO:0035254]; kinase binding [GO:0019900]; molecular adaptor activity [GO:0060090]; protein domain specific binding [GO:0019904]; protein kinase A regulatory subunit binding [GO:0034237]; protein kinase binding [GO:0019901]; protein phosphatase 2B binding [GO:0030346]; protein-containing complex binding [GO:0044877]; scaffold protein binding [GO:0097110]; SH3 domain binding [GO:0017124]; adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway [GO:0007193]; amylase secretion [GO:0036394]; cellular protein complex disassembly [GO:0043624]; clustering of voltage-gated calcium channels [GO:0070073]; clustering of voltage-gated potassium channels [GO:0045163]; negative regulation of adenylate cyclase activity [GO:0007194]; negative regulation of ion transport [GO:0043271]; negative regulation of potassium ion transport [GO:0043267]; positive regulation of adenylate cyclase activity [GO:0045762]; positive regulation of calcineurin-NFAT signaling cascade [GO:0070886]; positive regulation of calcium ion transport into cytosol [GO:0010524]; positive regulation of dendrite morphogenesis [GO:0050775]; positive regulation of endosome to plasma membrane protein transport [GO:1905751]; positive regulation of long-term synaptic potentiation [GO:1900273]; positive regulation of protein import into nucleus [GO:0042307]; positive regulation of protein localization to plasma membrane [GO:1903078]; positive regulation of protein phosphorylation [GO:0001934]; receptor clustering [GO:0043113]; regulation of postsynaptic neurotransmitter receptor internalization [GO:0099149]; regulation of protein kinase A signaling [GO:0010738]	GO:0001664; GO:0001934; GO:0003779; GO:0005516; GO:0005737; GO:0005856; GO:0005886; GO:0007193; GO:0007194; GO:0008179; GO:0009898; GO:0010524; GO:0010738; GO:0014069; GO:0016323; GO:0017124; GO:0019900; GO:0019901; GO:0019904; GO:0030346; GO:0030425; GO:0031527; GO:0031698; GO:0032279; GO:0032590; GO:0032591; GO:0032991; GO:0034237; GO:0035254; GO:0036394; GO:0042307; GO:0043025; GO:0043113; GO:0043197; GO:0043198; GO:0043267; GO:0043271; GO:0043624; GO:0044877; GO:0045121; GO:0045163; GO:0045296; GO:0045762; GO:0048471; GO:0050775; GO:0050811; GO:0060076; GO:0060090; GO:0070073; GO:0070886; GO:0097110; GO:0098837; GO:0098978; GO:0099092; GO:0099149; GO:1900273; GO:1903078; GO:1905751
O00567	NOP56_HUMAN	reviewed	Nucleolar protein 56 (Nucleolar protein 5A)	NOP56 NOL5A	Homo sapiens (Human)	rRNA processing [GO:0006364]	box C/D RNP complex [GO:0031428]; cytoplasm [GO:0005737]; fibrillar center [GO:0001650]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; pre-snoRNP complex [GO:0070761]; small-subunit processome [GO:0032040]; sno(s)RNA-containing ribonucleoprotein complex [GO:0005732]; cadherin binding [GO:0045296]; histone methyltransferase binding [GO:1990226]; RNA binding [GO:0003723]; snoRNA binding [GO:0030515]; rRNA processing [GO:0006364]	GO:0001650; GO:0003723; GO:0005654; GO:0005730; GO:0005732; GO:0005737; GO:0006364; GO:0016020; GO:0030515; GO:0031428; GO:0032040; GO:0045296; GO:0070761; GO:1990226
P50140	CH60_CAEEL	reviewed	Chaperonin homolog Hsp-60, mitochondrial (Heat shock protein 60) (HSP-60)	hsp-60 hsp60 Y22D7AL.5	Caenorhabditis elegans	apoptotic mitochondrial changes [GO:0008637]; embryo development ending in birth or egg hatching [GO:0009792]; mitochondrial unfolded protein response [GO:0034514]; mitochondrion organization [GO:0007005]; nematode larval development [GO:0002119]; protein folding [GO:0006457]; protein import into mitochondrial intermembrane space [GO:0045041]; protein refolding [GO:0042026]	mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; ATP binding [GO:0005524]; chaperone binding [GO:0051087]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; apoptotic mitochondrial changes [GO:0008637]; embryo development ending in birth or egg hatching [GO:0009792]; mitochondrial unfolded protein response [GO:0034514]; mitochondrion organization [GO:0007005]; nematode larval development [GO:0002119]; protein folding [GO:0006457]; protein import into mitochondrial intermembrane space [GO:0045041]; protein refolding [GO:0042026]	GO:0002119; GO:0005524; GO:0005739; GO:0005743; GO:0005759; GO:0006457; GO:0007005; GO:0008637; GO:0009792; GO:0034514; GO:0042026; GO:0045041; GO:0051087; GO:0061629
Q8IRW8	TRR_DROME	reviewed	Histone-lysine N-methyltransferase trr (EC 2.1.1.354) (Lysine N-methyltransferase 2C) (Trithorax-related protein)	trr KMT2C CG3848	Drosophila melanogaster (Fruit fly)	compound eye development [GO:0048749]; histone H3-K4 methylation [GO:0051568]; histone methylation [GO:0016571]; positive regulation of histone H3-K9 trimethylation [GO:1900114]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; progression of morphogenetic furrow involved in compound eye morphogenesis [GO:0007458]; response to ecdysone [GO:0035075]	MLL3/4 complex [GO:0044666]; nucleus [GO:0005634]; polytene chromosome [GO:0005700]; polytene chromosome puff [GO:0005703]; core promoter sequence-specific DNA binding [GO:0001046]; histone binding [GO:0042393]; histone methyltransferase activity (H3-K4 specific) [GO:0042800]; metal ion binding [GO:0046872]; signaling receptor binding [GO:0005102]; transcription coactivator activity [GO:0003713]; compound eye development [GO:0048749]; histone H3-K4 methylation [GO:0051568]; histone methylation [GO:0016571]; positive regulation of histone H3-K9 trimethylation [GO:1900114]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription, DNA-templated [GO:0045893]; progression of morphogenetic furrow involved in compound eye morphogenesis [GO:0007458]; response to ecdysone [GO:0035075]	GO:0001046; GO:0003713; GO:0005102; GO:0005634; GO:0005700; GO:0005703; GO:0007458; GO:0016571; GO:0035075; GO:0042393; GO:0042800; GO:0044666; GO:0045893; GO:0045944; GO:0046872; GO:0048749; GO:0051568; GO:1900114
Q2THW0	DHC5A_DANRE	reviewed	Palmitoyltransferase ZDHHC5-A (EC 2.3.1.225) (Zinc finger DHHC domain-containing protein 5-A) (DHHC-5A)	zdhhc5a	Danio rerio (Zebrafish) (Brachydanio rerio)	protein palmitoylation [GO:0018345]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; palmitoyltransferase activity [GO:0016409]; protein-cysteine S-palmitoyltransferase activity [GO:0019706]; protein palmitoylation [GO:0018345]	GO:0005886; GO:0016021; GO:0016409; GO:0018345; GO:0019706
P33244	FTZF1_DROME	reviewed	Nuclear hormone receptor FTZ-F1 (FTZ-F1 alpha) (Nuclear receptor subfamily 5 group A member 3)	ftz-f1 NR5A3 CG4059	Drosophila melanogaster (Fruit fly)	cell death [GO:0008219]; dendrite morphogenesis [GO:0048813]; hormone-mediated signaling pathway [GO:0009755]; imaginal disc-derived leg morphogenesis [GO:0007480]; instar larval or pupal development [GO:0002165]; juvenile hormone mediated signaling pathway [GO:0035626]; lipid homeostasis [GO:0055088]; metamorphosis [GO:0007552]; mushroom body development [GO:0016319]; neuron remodeling [GO:0016322]; positive regulation of transcription by RNA polymerase II [GO:0045944]; pupariation [GO:0035073]; pupation [GO:0035074]; regulation of development, heterochronic [GO:0040034]; regulation of transcription, DNA-templated [GO:0006355]; regulation of transcription by RNA polymerase II [GO:0006357]; response to ecdysone [GO:0035075]; response to hormone [GO:0009725]; tissue development [GO:0009888]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; RNA polymerase II transcription regulator complex [GO:0090575]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; nuclear receptor activity [GO:0004879]; protein heterodimerization activity [GO:0046982]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; transcription cis-regulatory region binding [GO:0000976]; transcription factor binding [GO:0008134]; zinc ion binding [GO:0008270]; cell death [GO:0008219]; dendrite morphogenesis [GO:0048813]; hormone-mediated signaling pathway [GO:0009755]; imaginal disc-derived leg morphogenesis [GO:0007480]; instar larval or pupal development [GO:0002165]; juvenile hormone mediated signaling pathway [GO:0035626]; lipid homeostasis [GO:0055088]; metamorphosis [GO:0007552]; mushroom body development [GO:0016319]; neuron remodeling [GO:0016322]; positive regulation of transcription by RNA polymerase II [GO:0045944]; pupariation [GO:0035073]; pupation [GO:0035074]; regulation of development, heterochronic [GO:0040034]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of transcription, DNA-templated [GO:0006355]; response to ecdysone [GO:0035075]; response to hormone [GO:0009725]; tissue development [GO:0009888]	GO:0000976; GO:0000978; GO:0001228; GO:0002165; GO:0003677; GO:0004879; GO:0005634; GO:0005737; GO:0006355; GO:0006357; GO:0007480; GO:0007552; GO:0008134; GO:0008219; GO:0008270; GO:0009725; GO:0009755; GO:0009888; GO:0016319; GO:0016322; GO:0035073; GO:0035074; GO:0035075; GO:0035626; GO:0040034; GO:0045944; GO:0046982; GO:0048813; GO:0055088; GO:0090575
Q5RJI5	BRSK1_MOUSE	reviewed	Serine/threonine-protein kinase BRSK1 (EC 2.7.11.1) (EC 2.7.11.26) (Brain-specific serine/threonine-protein kinase 1) (BR serine/threonine-protein kinase 1) (Serine/threonine-protein kinase SAD-B)	Brsk1 Gm1100 Sadb	Mus musculus (Mouse)	associative learning [GO:0008306]; axonogenesis [GO:0007409]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to glucose starvation [GO:0042149]; centrosome duplication [GO:0051298]; establishment of cell polarity [GO:0030010]; G2/M transition of mitotic cell cycle [GO:0000086]; intracellular signal transduction [GO:0035556]; microtubule cytoskeleton organization involved in establishment of planar polarity [GO:0090176]; mitotic G2 DNA damage checkpoint signaling [GO:0007095]; neuron differentiation [GO:0030182]; neuron projection morphogenesis [GO:0048812]; neurotransmitter secretion [GO:0007269]; peptidyl-serine phosphorylation [GO:0018105]; protein phosphorylation [GO:0006468]; regulation of axonogenesis [GO:0050770]; regulation of neuron projection development [GO:0010975]; regulation of synaptic plasticity [GO:0048167]; response to UV [GO:0009411]; synaptic vesicle cycle [GO:0099504]	cell junction [GO:0030054]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; distal axon [GO:0150034]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; presynaptic active zone [GO:0048786]; synaptic vesicle [GO:0008021]; ATP binding [GO:0005524]; gamma-tubulin binding [GO:0043015]; magnesium ion binding [GO:0000287]; protein kinase binding [GO:0019901]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein threonine kinase activity [GO:0106311]; tau-protein kinase activity [GO:0050321]; associative learning [GO:0008306]; axonogenesis [GO:0007409]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to glucose starvation [GO:0042149]; centrosome duplication [GO:0051298]; establishment of cell polarity [GO:0030010]; G2/M transition of mitotic cell cycle [GO:0000086]; intracellular signal transduction [GO:0035556]; microtubule cytoskeleton organization involved in establishment of planar polarity [GO:0090176]; mitotic G2 DNA damage checkpoint signaling [GO:0007095]; neuron differentiation [GO:0030182]; neuron projection morphogenesis [GO:0048812]; neurotransmitter secretion [GO:0007269]; peptidyl-serine phosphorylation [GO:0018105]; protein phosphorylation [GO:0006468]; regulation of axonogenesis [GO:0050770]; regulation of neuron projection development [GO:0010975]; regulation of synaptic plasticity [GO:0048167]; response to UV [GO:0009411]; synaptic vesicle cycle [GO:0099504]	GO:0000086; GO:0000287; GO:0004674; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005813; GO:0006468; GO:0006974; GO:0007095; GO:0007269; GO:0007409; GO:0008021; GO:0008306; GO:0009411; GO:0010975; GO:0018105; GO:0019901; GO:0030010; GO:0030054; GO:0030182; GO:0035556; GO:0042149; GO:0043015; GO:0048167; GO:0048786; GO:0048812; GO:0050321; GO:0050770; GO:0051298; GO:0090176; GO:0099504; GO:0106310; GO:0106311; GO:0150034
