ID	BlastType	SeqLength	HitAcc	HitDesc	Score	E-Value	PercentIdent	QueryStart	QueryEnd	HitStart	HitEnd
evm.model.HiC_scaffold_27.230	BLASTX1	1479	XP_045114107.1	roundabout homolog 3-like isoform X1 [Portunus trituberculatus]XP_045114108.1 roundabout homolog 3-like isoform X1 [Portunus trituberculatus]XP_045114111.1 roundabout homolog 3-like isoform X1 [Portunus trituberculatus]XP_045114112.1 roundabout homolog 3-like isoform X1 [Portunus trituberculatus]	1672	0.0	312/427 (73%)	170	1408	38	453
evm.model.HiC_scaffold_27.231	No Hit Found										
evm.model.HiC_scaffold_27.232	BLASTX1	921	ACP43443.1	arginine kinase [Scylla olivacea]	1496	0.0	289/307 (94%)	1	921	1	307
evm.model.HiC_scaffold_27.233	BLASTX1	1064	MPC19419.1	Protein bric-a-brac 2 [Portunus trituberculatus]	892	2e-113	197/274 (71%)	258	1064	6	269
evm.model.HiC_scaffold_27.234	No Hit Found										
evm.model.HiC_scaffold_27.235	No Hit Found										
evm.model.HiC_scaffold_27.236	BLASTX1	923	KAG1696934.1	Alpha-N-acetylgalactosaminidase [Nymphon striatum]	622	9e-69	141/311 (45%)	1	921	726	1032
evm.model.HiC_scaffold_27.237	BLASTX1	1666	XP_042871330.1	uncharacterized protein LOC122252759 [Penaeus japonicus]	290	1e-23	83/317 (26%)	761	1645	16	317
evm.model.HiC_scaffold_27.238	BLASTX1	2959	XP_042879412.1	WD repeat-containing and planar cell polarity effector protein fritz homolog isoform X3 [Penaeus japonicus]	2211	0.0	416/580 (71%)	440	2170	30	591
evm.model.HiC_scaffold_27.239	BLASTX1	831	KAF2360585.1	Ammonium transporter AmtB-like domain [Trinorchestia longiramus]	735	3e-88	144/212 (67%)	208	825	17	228
evm.model.HiC_scaffold_27.24	No Hit Found										
evm.model.HiC_scaffold_27.240	BLASTX1	718	XP_042886470.1	glycerophosphocholine cholinephosphodiesterase ENPP6-like [Penaeus japonicus]	697	2e-84	128/201 (63%)	113	715	68	249
evm.model.HiC_scaffold_27.241	BLASTX1	1814	XP_018316414.1	PREDICTED: rho-related BTB domain-containing protein 1 isoform X3 [Trachymyrmex zeteki]XP_018358880.1 PREDICTED: rho-related BTB domain-containing protein 1 isoform X3 [Trachymyrmex cornetzi]	1788	0.0	359/642 (55%)	3	1814	1	638
evm.model.HiC_scaffold_27.242	BLASTX1	627	KAG0730378.1	Protein KRI1 [Chionoecetes opilio]	242	2e-19	52/130 (40%)	10	378	267	396
evm.model.HiC_scaffold_27.243	BLASTX1	327	XP_033122083.1	uncharacterized protein LOC117121088, partial [Anneissia japonica]	319	3e-33	56/104 (53%)	13	324	99	201
evm.model.HiC_scaffold_27.244	No Hit Found										
evm.model.HiC_scaffold_27.245	BLASTX1	9022	XP_045120285.1	U4/U6 small nuclear ribonucleoprotein Prp31-like [Portunus trituberculatus]	1773	0.0	358/419 (85%)	73	1329	25	438
evm.model.HiC_scaffold_27.246	BLASTX1	721	XP_042217044.1	graves disease carrier protein-like isoform X1 [Homarus americanus]	1087	4e-147	210/239 (87%)	3	719	18	256
evm.model.HiC_scaffold_27.247	BLASTX1	439	XP_033113654.1	peroxisomal membrane protein PEX13-like isoform X2 [Anneissia japonica]	176	2e-11	33/53 (62%)	166	321	278	330
evm.model.HiC_scaffold_27.248	No Hit Found										
evm.model.HiC_scaffold_27.249	BLASTX1	445	XP_045115880.1	cyclin-dependent kinase-like 4 isoform X3 [Portunus trituberculatus]XP_045115881.1 cyclin-dependent kinase-like 4 isoform X3 [Portunus trituberculatus]	539	6e-65	112/151 (74%)	2	445	1	151
evm.model.HiC_scaffold_27.25	No Hit Found										
evm.model.HiC_scaffold_27.250	BLASTX1	397	XP_042880504.1	uncharacterized protein LOC122258558 [Penaeus japonicus]	147	3e-09	41/110 (37%)	71	397	3	88
evm.model.HiC_scaffold_27.251	BLASTX1	1625	XP_042216356.1	LOW QUALITY PROTEIN: brefeldin A-inhibited guanine nucleotide-exchange protein 1-like [Homarus americanus]	804	8e-90	219/465 (47%)	159	1505	122	529
evm.model.HiC_scaffold_27.252	BLASTX1	572	XP_042893238.1	uncharacterized protein LOC122267265 [Penaeus japonicus]XP_042893239.1 uncharacterized protein LOC122267265 [Penaeus japonicus]	171	3e-10	39/122 (31%)	15	374	592	712
evm.model.HiC_scaffold_27.26	BLASTX1	541	XP_045137078.1	uncharacterized protein LOC123519662 [Portunus trituberculatus]	229	5e-18	50/77 (64%)	127	357	570	646
evm.model.HiC_scaffold_27.27	BLASTX1	564	XP_045103396.1	protein tramtrack, alpha isoform-like isoform X6 [Portunus trituberculatus]	560	2e-65	124/170 (72%)	1	510	288	446
evm.model.HiC_scaffold_27.28	BLASTX1	461	WP_107401917.1	LCP family protein [Streptomyces oceani]	328	6e-32	81/141 (57%)	5	427	91	231
evm.model.HiC_scaffold_27.29	BLASTX1	648	XP_037786527.1	organic cation transporter protein-like [Penaeus monodon]	369	6e-38	79/116 (68%)	196	543	123	237
evm.model.HiC_scaffold_27.3	No Hit Found										
evm.model.HiC_scaffold_27.30	BLASTX1	754	XP_045119691.1	pancreatic triacylglycerol lipase-like [Portunus trituberculatus]	837	2e-106	157/237 (66%)	43	753	99	334
evm.model.HiC_scaffold_27.31	BLASTX1	339	KAG7170654.1	Diacylglycerol kinase delta-like, partial [Homarus americanus]	220	7e-18	48/78 (61%)	115	339	487	564
evm.model.HiC_scaffold_27.32	BLASTX1	350	XP_042886923.1	diacylglycerol kinase eta-like isoform X1 [Penaeus japonicus]	282	4e-26	49/49 (100%)	145	291	124	172
evm.model.HiC_scaffold_27.33	No Hit Found										
evm.model.HiC_scaffold_27.34	BLASTX1	1521	KAG7170654.1	Diacylglycerol kinase delta-like, partial [Homarus americanus]	494	1e-49	114/196 (58%)	37	573	565	759
evm.model.HiC_scaffold_27.35	No Hit Found										
evm.model.HiC_scaffold_27.36	BLASTX1	614	ROT83755.1	pellino [Penaeus vannamei]	1064	4e-144	199/206 (96%)	1	612	68	273
evm.model.HiC_scaffold_27.37	No Hit Found										
evm.model.HiC_scaffold_27.38	BLASTX1	1018	XP_042209668.1	glycerophosphocholine cholinephosphodiesterase ENPP6-like [Homarus americanus]	1105	5e-144	218/351 (62%)	64	1017	172	520
evm.model.HiC_scaffold_27.39	BLASTX1	1566	XP_045120991.1	E3 ubiquitin-protein ligase LRSAM1-like [Portunus trituberculatus]	1520	0.0	365/523 (69%)	1	1566	1	519
evm.model.HiC_scaffold_27.4	BLASTX1	916	MPC63190.1	Cold shock-like protein CspG [Portunus trituberculatus]	235	7e-18	69/186 (37%)	335	892	110	281
evm.model.HiC_scaffold_27.40	BLASTX1	309	XP_042863467.1	E3 ubiquitin-protein ligase ZNRF1-like isoform X2 [Penaeus japonicus]	448	4e-52	74/75 (98%)	85	309	255	329
evm.model.HiC_scaffold_27.41	BLASTX1	328	XP_042892441.1	uncharacterized protein LOC122266680 isoform X2 [Penaeus japonicus]	375	2e-42	70/108 (64%)	1	324	77	183
evm.model.HiC_scaffold_27.42	BLASTX1	1267	XP_042232595.1	protein unzipped-like [Homarus americanus]	801	3e-98	168/333 (50%)	1	993	26	357
evm.model.HiC_scaffold_27.43	No Hit Found										
evm.model.HiC_scaffold_27.44	BLASTX1	209	XP_026330081.1	piggyBac transposable element-derived protein 4-like [Hyposmocoma kahamanoa]	248	2e-23	45/69 (65%)	3	209	85	153
evm.model.HiC_scaffold_27.45	BLASTN1	340	AL603783.15	Human DNA sequence from clone RP11-216B13 on chromosome 6, complete sequence	87	4e-10	199/284 (70%)	73	332	50331	50599
evm.model.HiC_scaffold_27.46	BLASTX1	833	KAG7163962.1	TANC2-like 2 [Homarus americanus]	1244	2e-157	240/294 (81%)	1	831	992	1285
evm.model.HiC_scaffold_27.47	BLASTN1	197	LR721891.1	XXX	77	1e-07	76/99 (76%)	16	114	4136	4225
evm.model.HiC_scaffold_27.48	No Hit Found										
evm.model.HiC_scaffold_27.49	No Hit Found										
evm.model.HiC_scaffold_27.5	BLASTX1	549	MBO8666529.1	cold shock domain-containing protein [Staphylococcus aureus]	220	1e-19	41/77 (53%)	292	519	4	80
evm.model.HiC_scaffold_27.50	BLASTX1	380	XP_042231396.1	B9 domain-containing protein 2-like [Homarus americanus]XP_042231397.1 B9 domain-containing protein 2-like [Homarus americanus]XP_042231398.1 B9 domain-containing protein 2-like [Homarus americanus]	458	3e-55	86/126 (68%)	3	380	31	156
evm.model.HiC_scaffold_27.51	BLASTX1	366	XP_042216595.1	uncharacterized protein LOC121862397 [Homarus americanus]XP_042216596.1 uncharacterized protein LOC121862397 [Homarus americanus]	314	4e-32	60/74 (81%)	145	366	18	91
evm.model.HiC_scaffold_27.52	BLASTX1	198	KAG7166776.1	Peptidyl-prolyl cis-trans isomerase-like 1-like [Homarus americanus]	341	7e-39	64/65 (98%)	3	197	50	114
evm.model.HiC_scaffold_27.53	BLASTX1	585	XP_042204487.1	endonuclease 8-like 3 isoform X2 [Homarus americanus]XP_042204488.1 endonuclease 8-like 3 isoform X2 [Homarus americanus]XP_042204489.1 endonuclease 8-like 3 isoform X2 [Homarus americanus]XP_042204490.1 endonuclease 8-like 3 isoform X2 [Homarus americanus]XP_042204491.1 endonuclease 8-like 3 isoform X2 [Homarus americanus]XP_042204493.1 endonuclease 8-like 3 isoform X2 [Homarus americanus]XP_042204494.1 endonuclease 8-like 3 isoform X2 [Homarus americanus]XP_042204495.1 endonuclease 8-like 3 isoform X2 [Homarus americanus]XP_042204496.1 endonuclease 8-like 3 isoform X2 [Homarus americanus]XP_042204497.1 endonuclease 8-like 3 isoform X2 [Homarus americanus]XP_042204498.1 endonuclease 8-like 3 isoform X2 [Homarus americanus]	375	3e-38	74/110 (67%)	1	330	181	289
evm.model.HiC_scaffold_27.54	BLASTX1	248	XP_045120287.1	uncharacterized protein LOC123509799 isoform X2 [Portunus trituberculatus]	179	6e-13	38/60 (63%)	4	183	313	371
evm.model.HiC_scaffold_27.55	No Hit Found										
evm.model.HiC_scaffold_27.56	No Hit Found										
evm.model.HiC_scaffold_27.57	BLASTX1	930	XP_027231824.1	uncharacterized protein LOC113823394 [Penaeus vannamei]	633	9e-73	127/290 (43%)	1	870	97	385
evm.model.HiC_scaffold_27.58	No Hit Found										
evm.model.HiC_scaffold_27.59	BLASTX1	340	XP_045119811.1	actin-related protein 2/3 complex subunit 3-like [Portunus trituberculatus]XP_045119812.1 actin-related protein 2/3 complex subunit 3-like [Portunus trituberculatus]MPC48915.1 Actin-related protein 2/3 complex subunit 3 [Portunus trituberculatus]	550	2e-69	102/113 (90%)	1	339	14	126
evm.model.HiC_scaffold_27.6	BLASTX1	583	XP_042216593.1	uncharacterized protein LOC121862394, partial [Homarus americanus]	404	4e-46	73/99 (73%)	2	298	34	132
evm.model.HiC_scaffold_27.60	No Hit Found										
evm.model.HiC_scaffold_27.61	BLASTX1	661	XP_042881271.1	uncharacterized protein LOC122258959 isoform X1 [Penaeus japonicus]XP_042881272.1 uncharacterized protein LOC122258959 isoform X2 [Penaeus japonicus]	534	9e-65	99/174 (56%)	139	660	34	207
evm.model.HiC_scaffold_27.62	No Hit Found										
evm.model.HiC_scaffold_27.63	BLASTX1	220	MPC89016.1	ADP-ribosylation factor-like protein 4C [Portunus trituberculatus]	247	2e-24	46/46 (100%)	82	219	108	153
evm.model.HiC_scaffold_27.64	BLASTX1	906	XP_045136568.1	calcium/calmodulin-dependent protein kinase kinase 1-like isoform X5 [Portunus trituberculatus]	506	3e-54	161/327 (49%)	100	906	48	367
evm.model.HiC_scaffold_27.65	BLASTX1	519	MPC32483.1	Calcium/calmodulin-dependent protein kinase kinase 1 [Portunus trituberculatus]	839	6e-110	153/164 (93%)	28	519	66	229
evm.model.HiC_scaffold_27.66	BLASTX1	316	XP_042225886.1	uncharacterized protein LOC121868917 [Homarus americanus]	316	7e-34	60/98 (61%)	2	295	95	192
evm.model.HiC_scaffold_27.67	BLASTX1	534	XP_042888375.1	carbohydrate sulfotransferase 11-like [Penaeus japonicus]XP_042888376.1 carbohydrate sulfotransferase 11-like [Penaeus japonicus]	682	2e-85	133/222 (59%)	1	534	145	360
evm.model.HiC_scaffold_27.68	BLASTX1	1139	XP_042219232.1	glycine-rich cell wall structural protein-like isoform X8 [Homarus americanus]	313	3e-27	77/132 (58%)	154	549	36	166
evm.model.HiC_scaffold_27.69	BLASTX1	261	XP_030858867.1	LOW QUALITY PROTEIN: nuclear pore complex-interacting protein family member B13-like [Gorilla gorilla gorilla]	162	2e-10	26/87 (29%)	1	261	730	816
evm.model.HiC_scaffold_27.7	No Hit Found										
evm.model.HiC_scaffold_27.70	BLASTX1	185	XP_042888375.1	carbohydrate sulfotransferase 11-like [Penaeus japonicus]XP_042888376.1 carbohydrate sulfotransferase 11-like [Penaeus japonicus]	183	7e-14	35/59 (59%)	16	183	80	138
evm.model.HiC_scaffold_27.71	BLASTX1	1095	XP_037796179.1	probable citrate synthase 1, mitochondrial [Penaeus monodon]	1828	0.0	334/365 (91%)	1	1095	17	379
evm.model.HiC_scaffold_27.72	BLASTN1	361	LS423642.1	Anas platyrhynchos genome assembly, chromosome: U	174	5e-34	220/304 (72%)	20	305	2161956	2162241
evm.model.HiC_scaffold_27.73	BLASTN1	166	XR_006676240.1	PREDICTED: Portunus trituberculatus uncharacterized LOC123509616 (LOC123509616), ncRNA	85	5e-10	114/161 (70%)	9	166	103	248
evm.model.HiC_scaffold_27.74	BLASTN1	270	LR877224.1	Acomys russatus genome assembly, chromosome: 13	214	5e-45	205/269 (76%)	1	269	22561657	22561919
evm.model.HiC_scaffold_27.75	BLASTN1	261	XM_020423605.1	PREDICTED: Pseudomyrmex gracilis glycine-rich cell wall structural protein-like (LOC109852438), transcript variant X2, mRNA	132	8e-23	167/233 (71%)	3	222	522	741
evm.model.HiC_scaffold_27.76	BLASTX1	2456	XP_042216717.1	unconventional myosin ID-like [Homarus americanus]	3620	0.0	707/920 (76%)	67	2451	42	961
evm.model.HiC_scaffold_27.77	BLASTX1	548	XP_042233217.1	coiled-coil domain-containing protein 43-like isoform X1 [Homarus americanus]	545	1e-67	112/154 (72%)	1	462	1	152
evm.model.HiC_scaffold_27.78	BLASTX1	1031	XP_045120543.1	beta,beta-carotene 15,15'-dioxygenase-like [Portunus trituberculatus]	997	1e-128	190/304 (62%)	1	903	153	436
evm.model.HiC_scaffold_27.79	No Hit Found										
evm.model.HiC_scaffold_27.8	BLASTX1	243	XP_045136744.1	organic cation transporter protein-like isoform X5 [Portunus trituberculatus]	195	5e-15	38/76 (50%)	16	243	52	123
evm.model.HiC_scaffold_27.80	BLASTX1	541	MPC62573.1	Secernin-3 [Portunus trituberculatus]	475	1e-55	89/142 (62%)	101	517	73	214
evm.model.HiC_scaffold_27.81	BLASTX1	302	KAG7170618.1	Sarcalumenin-like 2 [Homarus americanus]	372	2e-41	87/97 (89%)	10	300	111	207
evm.model.HiC_scaffold_27.82	BLASTX1	180	MPC69869.1	Dipeptidase 1 [Portunus trituberculatus]	283	2e-30	54/59 (91%)	4	180	14	72
evm.model.HiC_scaffold_27.83	No Hit Found										
evm.model.HiC_scaffold_27.84	BLASTX1	752	XP_045128479.1	uncharacterized protein LOC123514581 [Portunus trituberculatus]	774	2e-93	150/288 (52%)	1	750	34	321
evm.model.HiC_scaffold_27.85	BLASTX1	1293	XP_042874487.1	dynein regulatory complex subunit 7-like [Penaeus japonicus]	630	2e-72	182/398 (45%)	259	1293	34	430
evm.model.HiC_scaffold_27.86	BLASTX1	2355	XP_042879569.1	uncharacterized protein LOC122257993 [Penaeus japonicus]	352	2e-32	79/163 (48%)	1060	1548	75	236
evm.model.HiC_scaffold_27.87	No Hit Found										
evm.model.HiC_scaffold_27.88	BLASTX1	186	XP_045136956.1	glycine-rich cell wall structural protein-like [Portunus trituberculatus]	172	1e-12	32/40 (80%)	55	174	85	124
evm.model.HiC_scaffold_27.89	BLASTX1	468	XP_045136956.1	glycine-rich cell wall structural protein-like [Portunus trituberculatus]	366	1e-39	85/104 (81%)	2	313	72	175
evm.model.HiC_scaffold_27.9	BLASTX1	406	OWF43396.1	Small proline-rich protein 3 [Mizuhopecten yessoensis]	260	5e-26	48/106 (45%)	85	399	5	110
evm.model.HiC_scaffold_27.90	BLASTX1	250	XP_042243113.1	organic cation transporter-like protein [Homarus americanus]	269	6e-26	59/83 (71%)	1	249	102	184
evm.model.HiC_scaffold_27.91	BLASTN1	2411	LR584414.1	Salmo trutta genome assembly, chromosome: 33	1645	0.0	1816/2445 (74%)	8	2409	34488243	34490590
evm.model.HiC_scaffold_27.92	BLASTX1	451	XP_022519123.1	uncharacterized protein LOC103031046, partial [Astyanax mexicanus]	265	3e-25	59/113 (52%)	111	449	1	111
evm.model.HiC_scaffold_27.93	BLASTX1	259	XP_042243113.1	organic cation transporter-like protein [Homarus americanus]	274	1e-26	59/84 (70%)	2	253	101	184
evm.model.HiC_scaffold_27.94	BLASTX1	1308	XP_037791631.1	ATP-dependent RNA helicase DHX33-like [Penaeus monodon]	1698	0.0	331/427 (77%)	31	1308	54	480
evm.model.HiC_scaffold_27.95	BLASTX1	690	XP_042871330.1	uncharacterized protein LOC122252759 [Penaeus japonicus]	171	6e-10	52/201 (25%)	22	612	16	211
evm.model.HiC_scaffold_27.96	No Hit Found										
evm.model.HiC_scaffold_27.97	No Hit Found										
evm.model.HiC_scaffold_27.98	No Hit Found										
evm.model.HiC_scaffold_27.99	BLASTX1	779	RXG55284.1	Organic cation transporter protein [Armadillidium vulgare]	450	2e-48	103/285 (36%)	58	777	219	503
evm.model.HiC_scaffold_2713.1	No Hit Found										
evm.model.HiC_scaffold_2788.1	BLASTN1	502	OU342728.1	Taurulus bubalis genome assembly, chromosome: 18	125	3e-20	261/386 (67%)	28	412	927344	927707
evm.model.HiC_scaffold_28.1	No Hit Found										
evm.model.HiC_scaffold_28.10	BLASTX1	1346	XP_037801664.1	H/ACA ribonucleoprotein complex subunit 4-like isoform X1 [Penaeus monodon]	1696	0.0	326/418 (77%)	64	1254	29	446
evm.model.HiC_scaffold_28.100	BLASTX1	1351	XP_042227235.1	uncharacterized protein LOC121869738 [Homarus americanus]	1299	2e-166	250/362 (69%)	266	1348	286	647
evm.model.HiC_scaffold_28.101	BLASTX1	388	XP_042221206.1	arginase, hepatic-like [Homarus americanus]XP_042221207.1 arginase, hepatic-like [Homarus americanus]XP_042221208.1 arginase, hepatic-like [Homarus americanus]	460	1e-53	82/129 (63%)	2	388	143	271
evm.model.HiC_scaffold_28.102	BLASTX1	2158	XP_033762326.1	titin homolog [Pecten maximus]	1595	0.0	301/726 (41%)	12	2156	45	767
evm.model.HiC_scaffold_28.103	No Hit Found										
evm.model.HiC_scaffold_28.104	No Hit Found										
evm.model.HiC_scaffold_28.105	BLASTX1	1731	XP_027226199.1	beta-galactosidase-like [Penaeus vannamei]XP_027226200.1 beta-galactosidase-like [Penaeus vannamei]	1961	0.0	359/555 (64%)	88	1731	26	580
evm.model.HiC_scaffold_28.106	BLASTX1	383	XP_027215876.1	echinoderm microtubule-associated protein-like 2 isoform X4 [Penaeus vannamei]	414	8e-44	80/121 (66%)	24	383	15	134
evm.model.HiC_scaffold_28.107	BLASTN1	203	XM_043035107.1	PREDICTED: Penaeus japonicus repetitive proline-rich cell wall protein-like (LOC122265702), mRNA	72	1e-06	96/137 (70%)	68	203	131	245
evm.model.HiC_scaffold_28.108	BLASTX1	2327	XP_042227027.1	serine/threonine-protein phosphatase 4 regulatory subunit 1-like [Homarus americanus]XP_042227028.1 serine/threonine-protein phosphatase 4 regulatory subunit 1-like[Homarus americanus]XP_042227029.1 serine/threonine-protein phosphatase 4 regulatory subunit 1-like[Homarus americanus]	1773	0.0	410/706 (58%)	2	2104	286	888
evm.model.HiC_scaffold_28.109	BLASTX1	354	XP_045105781.1	uncharacterized protein LOC123501190 [Portunus trituberculatus]XP_045105785.1 uncharacterized protein LOC123501190 [Portunus trituberculatus]XP_045105786.1 uncharacterized protein LOC123501190 [Portunus trituberculatus]	196	2e-14	39/81 (48%)	133	354	1	81
evm.model.HiC_scaffold_28.11	BLASTX1	2787	XP_042227059.1	KICSTOR complex protein SZT2-like isoform X5 [Homarus americanus]	2586	0.0	580/928 (62%)	106	2709	11	910
evm.model.HiC_scaffold_28.110	BLASTX1	762	XP_042891772.1	tetraspanin-2A-like isoform X2 [Penaeus japonicus]	735	2e-94	138/188 (73%)	199	762	30	217
evm.model.HiC_scaffold_28.111	BLASTX1	660	KAG0722263.1	F-box-like/WD repeat-containing protein TBL1XR1 [Chionoecetes opilio]	1185	8e-160	218/220 (99%)	1	660	220	439
evm.model.HiC_scaffold_28.112	No Hit Found										
evm.model.HiC_scaffold_28.113	No Hit Found										
evm.model.HiC_scaffold_28.114	BLASTN1	208	XM_636956.1	Dictyostelium discoideum AX4 TM2 domain containing protein (DDB_G0277895) mRNA, complete cds	75	4e-07	80/106 (75%)	2	106	283	381
evm.model.HiC_scaffold_28.115	No Hit Found										
evm.model.HiC_scaffold_28.116	No Hit Found										
evm.model.HiC_scaffold_28.117	No Hit Found										
evm.model.HiC_scaffold_28.118	BLASTX1	1575	XP_042213100.1	uncharacterized protein LOC121860132 isoform X2 [Homarus americanus]	1170	1e-142	237/511 (46%)	1	1533	184	678
evm.model.HiC_scaffold_28.119	BLASTX1	507	XP_045106265.1	ubiquitin-like protein 4A [Portunus trituberculatus]	328	3e-35	71/116 (61%)	178	507	11	124
evm.model.HiC_scaffold_28.12	BLASTX1	2403	ATU31738.1	integrin, partial [Procambarus clarkii]	3151	0.0	629/775 (81%)	82	2403	19	789
evm.model.HiC_scaffold_28.120	BLASTX1	1628	XP_042223779.1	ecto-NOX disulfide-thiol exchanger 2-like isoform X6 [Homarus americanus]	2102	0.0	441/492 (89%)	151	1626	334	818
evm.model.HiC_scaffold_28.121	BLASTX1	1094	XP_037801626.1	complex I intermediate-associated protein 30, mitochondrial-like isoform X1 [Penaeus monodon]	1096	1e-145	196/265 (73%)	4	798	80	344
evm.model.HiC_scaffold_28.122	BLASTX1	303	XP_042869407.1	BET1 homolog [Penaeus japonicus]	215	1e-19	43/59 (72%)	136	303	7	65
evm.model.HiC_scaffold_28.123	BLASTX1	787	XP_042223752.1	integral membrane protein 2C-like [Homarus americanus]	619	7e-76	106/178 (59%)	244	777	79	254
evm.model.HiC_scaffold_28.124	BLASTX1	369	XP_037795369.1	myb-related protein B-like isoform X3 [Penaeus monodon]	329	2e-32	72/109 (66%)	46	369	3	109
evm.model.HiC_scaffold_28.125	No Hit Found										
evm.model.HiC_scaffold_28.126	BLASTX1	203	XP_045106050.1	adhesion G protein-coupled receptor A3-like isoform X2 [Portunus trituberculatus]	179	4e-13	33/49 (67%)	52	198	136	184
evm.model.HiC_scaffold_28.127	BLASTX1	2045	XP_042241897.1	inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2-like isoform X5 [Homarus americanus]	3412	0.0	630/664 (94%)	82	2037	46	709
evm.model.HiC_scaffold_28.128	BLASTX1	1160	XP_042241919.1	inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2-like isoform X8 [Homarus americanus]	1312	2e-164	277/430 (64%)	2	1120	852	1275
evm.model.HiC_scaffold_28.129	BLASTX1	548	XP_037775509.1	chromatin-remodeling ATPase INO80-like [Penaeus monodon]	436	8e-46	124/241 (51%)	6	548	54	291
evm.model.HiC_scaffold_28.13	BLASTX1	6960	XP_042227068.1	KICSTOR complex protein SZT2-like isoform X13 [Homarus americanus]	2257	0.0	525/905 (58%)	2561	5014	2386	3244
evm.model.HiC_scaffold_28.130	No Hit Found										
evm.model.HiC_scaffold_28.131	BLASTN1	1132	LR584440.1	Salmo trutta genome assembly, chromosome: 22	590	2e-146	730/991 (73%)	4	958	38503933	38504841
evm.model.HiC_scaffold_28.132	BLASTX1	495	XP_042228640.1	LOW QUALITY PROTEIN: gonadotropin-releasing hormone II receptor-like [Homarus americanus]	370	3e-40	70/76 (92%)	1	228	61	136
evm.model.HiC_scaffold_28.133	No Hit Found										
evm.model.HiC_scaffold_28.134	BLASTX1	1125	XP_028129883.1	uncharacterized protein LOC114325933 [Diabrotica virgifera virgifera]	675	8e-79	143/349 (40%)	19	1047	153	491
evm.model.HiC_scaffold_28.135	BLASTX1	509	KAG7163712.1	Transposable element Tcb2 transposase-like 10 [Homarus americanus]	553	1e-68	107/177 (60%)	1	507	11	187
evm.model.HiC_scaffold_28.136	No Hit Found										
evm.model.HiC_scaffold_28.137	No Hit Found										
evm.model.HiC_scaffold_28.138	BLASTX1	318	XP_037804691.1	uncharacterized protein LOC119599023 isoform X1 [Penaeus monodon]	346	5e-39	85/106 (80%)	1	318	19	124
evm.model.HiC_scaffold_28.139	BLASTX1	720	KAG0723288.1	Nucleic-acid-binding protein from mobile element jockey [Chionoecetes opilio]	209	1e-14	44/111 (39%)	385	717	165	270
evm.model.HiC_scaffold_28.14	BLASTN1	993	OU426870.1	Dolichovespula media genome assembly, chromosome: 20	78	2e-07	54/64 (84%)	818	881	3024284	3024347
evm.model.HiC_scaffold_28.140	BLASTX1	222	XP_042886905.1	cuticle protein 7-like [Penaeus japonicus]	192	3e-16	42/68 (61%)	1	192	14	81
evm.model.HiC_scaffold_28.141	BLASTX1	270	XP_042234946.1	cuticle protein 7-like [Homarus americanus]	287	2e-30	53/60 (88%)	1	180	50	109
evm.model.HiC_scaffold_28.142	BLASTX1	481	XP_045124788.1	uncharacterized protein LOC123512438 [Portunus trituberculatus]XP_045124789.1 uncharacterized protein LOC123512438 [Portunus trituberculatus]XP_045124790.1 uncharacterized protein LOC123512438 [Portunus trituberculatus]	328	4e-32	60/101 (59%)	52	336	131	230
evm.model.HiC_scaffold_28.143	No Hit Found										
evm.model.HiC_scaffold_28.144	BLASTX1	393	XP_027235366.1	uncharacterized protein LOC113826674 [Penaeus vannamei]	483	6e-53	110/131 (83%)	1	393	547	677
evm.model.HiC_scaffold_28.145	BLASTX1	4192	XP_042227256.1	probable E3 ubiquitin-protein ligase HERC1 [Homarus americanus]	2792	0.0	556/784 (70%)	1478	3781	1571	2315
evm.model.HiC_scaffold_28.146	BLASTX1	654	XP_042875691.1	cuticle protein 7-like [Penaeus japonicus]	419	3e-48	95/151 (62%)	58	495	21	153
evm.model.HiC_scaffold_28.147	BLASTX1	1229	XP_042227256.1	probable E3 ubiquitin-protein ligase HERC1 [Homarus americanus]	912	5e-106	198/300 (66%)	310	1200	142	402
evm.model.HiC_scaffold_28.148	No Hit Found										
evm.model.HiC_scaffold_28.149	BLASTX1	2176	XP_037801900.1	probable E3 ubiquitin-protein ligase HERC1 [Penaeus monodon]	932	1e-111	230/347 (66%)	397	1437	8	326
evm.model.HiC_scaffold_28.15	BLASTX1	1555	XP_042227148.1	zinc finger and BTB domain-containing protein 17-like [Homarus americanus]KAG7166295.1 Zinc finger protein 26-like 6 [Homarus americanus]	1534	0.0	287/433 (66%)	1	1206	353	785
evm.model.HiC_scaffold_28.150	BLASTX1	687	XP_042864316.1	beta-mannosidase-like isoform X1 [Penaeus japonicus]	251	2e-20	55/121 (45%)	322	684	741	860
evm.model.HiC_scaffold_28.151	BLASTN1	858	LR584429.1	Salmo trutta genome assembly, chromosome: 20	173	4e-33	143/180 (79%)	458	634	4226113	4226292
evm.model.HiC_scaffold_28.152	BLASTX1	2490	XP_042227257.1	probable E3 ubiquitin-protein ligase HERC1 [Homarus americanus]	3806	0.0	736/830 (88%)	1	2490	997	1806
evm.model.HiC_scaffold_28.153	BLASTX1	1653	XP_042883442.1	chitooligosaccharidolytic beta-N-acetylglucosaminidase-like [Penaeus japonicus]	1865	0.0	338/540 (62%)	1	1620	26	559
